PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email,LLM Summary
40079099,Integration of Photodiagnosis and Therapy Guided by Micro/Nanorobots.,2025 Mar 13,"Ding Q, Huang S, Zhang Z, Yu D, Li M, He Q, Mei L",", , , , , , ",Not Available,Summary not available due to quota limits.
40079085,Bruton tyrosine kinase covalent inhibition shapes the immune microenvironment in chronic lymphocytic leukemia.,2025 Mar 13,"Medina-Gil D, Palomo L, Navarro V, Lázaro G, Martín-Mur B, Hernández C, Castells O, Sánchez B, Muñoz-Torres PM, Pagès C, Pujadas G, Esteve-Codina A, Cabirta A, Ferrà C, Alcoceba M, Terol MJ, Andreu R, Martí M, Abrisqueta P, Bosch F, Crespo M, Spanish Group of Chronic Lymphocytic Leukemia - GELLC",", , , , , , , , , , , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40079066,MXenes and MXene-based composites for biomedical applications.,2025 Mar 13,"Dutta T, Alam P, Mishra SK",", , ",Not Available,Summary not available due to quota limits.
40079015,Analysis of single-cell and spatial transcriptomics in TNBC cell-cell interactions.,2025,"Xin Y, Ma Q, Deng Q, Wang T, Wang D, Wang G",", , , , , ",Not Available,Summary not available due to quota limits.
40079014,Significant association between systemic inflammation response index and prognosis in patients with urological malignancies.,2025,"Ma W, Liu R, Li X, Yu J, Wang W",", , , , ",Not Available,Summary not available due to quota limits.
40079009,The role of tumor-associated macrophages in lung cancer.,2025,"Zhu R, Huang J, Qian F",", , ",Not Available,Summary not available due to quota limits.
40078999,Maplirpacept: a CD47 decoy receptor with minimal red blood cell binding and robust anti-tumor efficacy.,2025,"Krishnamoorthy M, Seelige R, Brown CR, Chau N, Nielsen Viller N, Johnson LDS, Linderoth E, Wang JCY, Dillon CP, Abayasiriwardana K, Lees C, Wong M, Kaneda MM, Uger RA, Lin GHY",", , , , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078998,Development of a tertiary lymphoid structure-based prognostic model for breast cancer: integrating single-cell sequencing and machine learning to enhance patient outcomes.,2025,"Zhang X, Li L, Shi X, Zhao Y, Cai Z, Ni N, Yang D, Meng Z, Gao X, Huang L, Wang T",", , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078996,Prospect of extracellular vesicles in tumor immunotherapy.,2025,"Xia W, Tan Y, Liu Y, Xie N, Zhu H",", , , , ",Not Available,Summary not available due to quota limits.
40078995,The multi-faceted immune modulatory role of S100A4 in cancer and chronic inflammatory disease.,2025,"Wong T, Kang R, Yun K",", , ",Not Available,Summary not available due to quota limits.
40078991,Regulation of the immune microenvironment by SUMO in diabetes mellitus.,2025,"Zhuo Y, Fu S, Qiu Y",", , ",Not Available,Summary not available due to quota limits.
40078990,Advances in primary large B-cell lymphoma of immune-privileged sites.,2025,"Wang L, Guo M, Hou S",", , ",Not Available,Summary not available due to quota limits.
40078986,Impact of menopause and age on breast density and background parenchymal enhancement in dynamic contrast-enhanced magnetic resonance imaging.,2025 Nov,"Kuling G, Brooks JD, Curpen B, Warner E, Martel AL",", , , , ",Not Available,Summary not available due to quota limits.
40078969,Induction of translation-suppressive G3BP1(+) stress granules and interferon-signaling cGAS condensates by transfected plasmid DNA.,2025 Jan,"Majerciak V, Zheng ZM",", ",Not Available,Summary not available due to quota limits.
40078964,Profiling hippocampal neuronal populations reveals unique gene expression mosaics reflective of connectivity-based degeneration in the Ts65Dn mouse model of Down syndrome and Alzheimer's disease.,2025,"Alldred MJ, Ibrahim KW, Pidikiti H, Lee SH, Heguy A, Chiosis G, Mufson EJ, Stutzmann GE, Ginsberg SD",", , , , , , , , ",Not Available,Summary not available due to quota limits.
40078961,TRP channels and breast cancer: the role of TRPs in the pathophysiological development.,2025,"Zhang Y, Yi Y, Shu Y, Ru X, He S",", , , , ",Not Available,Summary not available due to quota limits.
40078932,Circulating short-chain and branched short-chain fatty acids and the risk of incident type 2 diabetes: findings from the 4C study.,2025 Apr,"Wang S, Lin H, Jia X, Lin Y, Hu C, Li M, Xu Y, Xu M, Zheng J, Zhao X, Li Y, Chen L, Zeng T, Hu R, Ye Z, Shi L, Su Q, Chen Y, Yu X, Yan L, Wang T, Zhao Z, Qin G, Wan Q, Chen G, Dai M, Zhang D, Qiu B, Zhu X, Liu R, Wang X, Tang X, Gao Z, Shen F, Gu X, Luo Z, Qin Y, Chen L, Hou X, Huo Y, Li Q, Wang G, Zhang Y, Liu C, Wang Y, Wu S, Yang T, Deng H, Zhao J, Mu Y, Xu G, Lai S, Li D, Ning G, Wang W, Bi Y, Lu J",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078904,Outcomes of Prostatic Artery Embolization for Treating Benign Prostatic Hyperplasia Symptoms: A Prospective Single-Center Study.,2025 Mar,"Delazar S, Azadnajafabad S, Firouznia K, Nowroozi MR, Amini E, Fotouhi M, Ghanaati H",", , , , , , ",Not Available,Summary not available due to quota limits.
40078867,Retrieval Augmented Medical Diagnosis System.,2025,"Johnson ET, Bande JK, Thomas J",", , ",Not Available,Summary not available due to quota limits.
40078846,Application of Combined SCIP and Free Fibula Flaps for Reconstruction of a Massive Composite Oromandibular Defect: A Pioneering Approach.,2025 Feb,"Venkateswar KP, Kumar A, Mishra KS, Arora R, Prasad N, Gupta S, Dewan AK, Arora V, Yadav V",", , , , , , , , ",Not Available,Summary not available due to quota limits.
40078842,Bilateral Lower Limb Injuries and the Need for Two Free Flaps: Simultaneous or Sequential.,2025 Feb,"Srikanth R, Mukunda Reddy D, Parvathi R, Khasanvis V, Chandrashekhar P",", , , , ",Not Available,Summary not available due to quota limits.
40078787,Regulation of Ferroptosis in Cancer and Immune Cells.,2025 Feb,"Jang N, Kim IK, Jung D, Chung Y, Kang YP",", , , , ",Not Available,Summary not available due to quota limits.
40078784,Interferon-driven Metabolic Reprogramming and Tumor Microenvironment Remodeling.,2025 Feb,"Chang TH, Ho PC",", ",Not Available,Summary not available due to quota limits.
40078783,Regulatory T Cell Metabolism: A Promising Therapeutic Target for Cancer Treatment?,2025 Feb,"Kim J, Li J, Wei J, Lim SA",", , , ",Not Available,Summary not available due to quota limits.
40078781,Tissue-Specific Metabolic Reprogramming in Innate Lymphoid Cells and Its Impact on Disease.,2025 Feb,"Ham J, Yang W, Kim HY",", , ",Not Available,Summary not available due to quota limits.
40078760,"Premature mortality patterns among American Indians in North Dakota, 2010-2019 (pre-pandemic).",2025,"Nadeau M, Steele JS, Lyon-Colbert A, Kelliher A, Barnett J, Begay A, Warne D",", , , , , , ",Not Available,Summary not available due to quota limits.
40078753,Generational differences in healthcare: the role of technology in the path forward.,2025,"Cecconi C, Adams R, Cardone A, Declaye J, Silva M, Vanlerberghe T, Guldemond N, Devisch I, van Vugt J",", , , , , , , , ",Not Available,Summary not available due to quota limits.
40078705,Mapping the landscape of vitamin D in cancer studies: a systematic global investigation.,2025 Jun,"Faryabi A, Salari MA, Dalvand A, Akbarniakhaky H, Mohammadi G, Aazami H, Razi F, Dehghanbanadaki H",", , , , , , , ",Not Available,Summary not available due to quota limits.
40078651,Advancing Nanomedicine Through Electron Microscopy: Insights Into Nanoparticle Cellular Interactions and Biomedical Applications.,2025,"Akhtar S, Zuhair F",", ",Not Available,Summary not available due to quota limits.
40078575,HDAC1 Mediates Immunosuppression of the Tumor Microenvironment in Non-Small Cell Lung Cancer.,2025,"Fan Y, Ji X, Yuan K, Wu Q, Lou M",", , , , ",Not Available,Summary not available due to quota limits.
40078563,Improving neuroblastoma risk prediction through a polygenic risk score derived from genome-wide association study-identified loci.,2025 Jan 30,"Zhang W, Zhu J, Zhang M, Chang J, Liu J, Chen L, Zhang X, Wu H, Zhou C, He J",", , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078561,Prophylactic hyperthermic intraperitoneal chemotherapy in patients with locally advanced gastric cancer after curative surgery: Final results of a phase II trial.,2025 Jan 30,"Fan B, Su H, Wang L, Ji X, Zhang Y, Jia Z, Zhang J, Bu Z, Wu X",", , , , , , , , ",Not Available,Summary not available due to quota limits.
40078557,Composite score of PD-1 (+) CD8 (+) tumor-infiltrating lymphocytes and CD57 (+) CD8 (+) tumor ascites lymphocytes is associated with prognosis and tumor immune microenvironment of patients with advanced high-grade serous ovarian cancer.,2025 Jan 30,"He T, Zhang J, Zeng L, Yin Z, Yu B, Zhang X, Yang X, Shang C, Xue L, Guo H",", , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078548,Genomic identification of a pair of multidrug-resistant but non-pathogenic Salmonella enterica serovar Goldcoast isolates in southeast China.,2025,"Yuan Y, Li P, Shen W, Li M, He X, Zhou B",", , , , , ",Not Available,Summary not available due to quota limits.
40078539,"Internal in-frame translation generates Cas11b, which is important for effective interference in an archaeal CRISPR-Cas system.",2025,"Sailer AL, Brendel J, Chernev A, König S, Bischler T, Gräfenhan T, Urlaub H, Gophna U, Marchfelder A",", , , , , , , , ",Not Available,Summary not available due to quota limits.
40078523,Stigma and self-perceived burden in postoperative liver cancer patients: the mediating role of financial toxicity.,2025,"Zhang Y, Cao Y, Wang Y, Wang D, Ye H, Nie C",", , , , , ",Not Available,Summary not available due to quota limits.
40078504,Assessing the toxic potency of absorbed trihalomethanes in leafy vegetables: the effects of different Chlorine pretreatment.,2025 Jun,"Fattahi-Zaim S, Abedi AS, Heshmati A, Nezamoleslami L, Ghasemzadeh-Mohammadi V",", , , , ",Not Available,Summary not available due to quota limits.
40078503,Perspectives on access to imaging digital health records in oncology: A mixed methods systematic review.,2024 Nov,"Ribeiro ASF, Husson O, Reuvers M, Oyen WJG, Messiou C, van der Graaf WTA",", , , , , ",Not Available,Summary not available due to quota limits.
40078466,"Sociodemographic Factors and Depression in Patients With Breast Cancer: A Multicenter, Cross-sectional Study in Georgia.",2025,"Kakhniashvili T, Okribelashvili N, Kiladze I",", , ",Not Available,Summary not available due to quota limits.
40078465,A Review of Breast Cancer Surgeries in a Sub-urban Nigerian Tertiary Hospital and the Limitations of Breast-Conserving Surgery.,2025,"Tagar E, Kpolugbo J, Okomayin AA, Tagar AG",", , , ",Not Available,Summary not available due to quota limits.
40078456,"Burden, risk factors, and projections of ischemic heart disease in China (1990-2021): findings from the 2021 GBD study.",2025,"Xu S, Liu Z, Tang M, Xu C",", , , ",Not Available,Summary not available due to quota limits.
40078452,Environmental impact of colorectal cancer screening with colonoscopy and multi-target stool DNA (mt-sDNA) testing.,2025 Mar,"Alcock R, Shaukat A, Kisiel JB, Hernandez LV, Delarmente BA, Estes C, Bartels J, Lester J, Vahdat V, Limburg PJ, Fendrick AM",", , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078401,Upfront fixed-duration treatment strategies for chronic lymphocytic leukemia in Arab populations: a position statement from the Gulf region.,2025,"Yassin MA, Al Farsi K, Hamad A, Ghasoub R, Alhuraiji A, Mheidly K, Yaseen HA, Osman H, Trepel M",", , , , , , , , ",Not Available,Summary not available due to quota limits.
40078400,"Exploring the therapeutic potential of ""Zhi-Zhen"" formula for oxaliplatin resistance in colorectal cancer: an integrated study combining UPLC-QTOF-MS/MS, bioinformatics, network pharmacology, and experimental validation.",2025,"Li Y, Chen K, Li Q, Liu Q, Han H, Liu H, Wang S",", , , , , , ",Not Available,Summary not available due to quota limits.
40078386,Prognostic value of c-MET in oesophageal squamous cell carcinoma: a study based on the mRNA expression in TCGA database and a meta-analysis.,2025,"Zhang Q, Li X, Li J, Zhang Z",", , , ",Not Available,Summary not available due to quota limits.
40078381,Choroidal metastases from thoracic cancer: a retrospective study on clinical characteristics and treatment efficacy.,2025,"Lin X, Zhong Y, Li H, Yang Y, Liu A, Shi Y, Liang J, Cheng Y",", , , , , , , ",Not Available,Summary not available due to quota limits.
40078375,Proanthocyanidin B2 alleviates Pg.LPS-induced RAW264.7 cellular inflammation and oxidative stress via PI3K/Akt/NFkB pathway.,2025 Apr,"Ou X, Chen X, Fang Z, Zhao J",", , , ",Not Available,Summary not available due to quota limits.
40078367,Gut microbiota therapy in gastrointestinal diseases.,2025,"Ullah H, Arbab S, Chang C, Bibi S, Muhammad N, Rehman SU, Suleman, Ullah I, Hassan IU, Tian Y, Li K",", , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078365,Ferroptosis and noncoding RNAs: exploring mechanisms in lung cancer treatment.,2025,"Rostami Ravari N, Sadri F, Mahdiabadi MA, Mohammadi Y, Ourang Z, Rezaei Z",", , , , , ",Not Available,Summary not available due to quota limits.
40078362,"Inhibition of Putative Ibrutinib Targets Promotes Atrial Fibrillation, Conduction Blocks, and Proarrhythmic Electrocardiogram Indices: A Mendelian Randomization Analysis.",2025 Apr,"Xu H, Li B, Lv P, Chen Y, Lin Y, Zhang A, Zhao J, Zhou G, Wu L",", , , , , , , , ",Not Available,Summary not available due to quota limits.
40078357,Henry S. Pennypacker's Contributions to Breast Cancer Detection: Developing a Behavioral Technology to Improve Breast Self-Exam Skills.,2025 Mar,Fuqua RW,None,Not Available,Summary not available due to quota limits.
40078339,Isoflavones: Promising Natural Agent for Cancer Prevention and Treatment.,2025 Mar,"Ul Hassan MH, Shahbaz M, Imran M, Momal U, Naeem H, Mujtaba A, Hussain M, Anwar MJ, Alsagaby SA, Al Abdulmonem W, Yehuala TF, Abdelgawad MA, El-Ghorab AH, Selim S, Mostafa EM",", , , , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078313,Dual Potential of Cetuximab Conjugated Hydroxyapatite Zirconium Nanoparticle as Nanocarrier for Radioenhancer in X-Ray Dynamic Therapy and (177)Lu-based Radioimmunotherapy of Lung Cancer.,2025,"Kurniawan A, Mahendra I, Rizaludin A, Utama MS, Lesmana R, Ayuningtyas FD, Dewanti MR, Syarif DG, Febrian MB",", , , , , , , , ",Not Available,Summary not available due to quota limits.
40078291,A combinatorial screening protocol for identifying novel and highly potent dual-target inhibitor of BRD4 and STAT3 for kidney cancer therapy.,2025,"Zhang S, Wu N, Geng Y, Guan L, Niu MM, Li J, Zhu L",", , , , , , ",Not Available,Summary not available due to quota limits.
40078290,Microbiota and metabolomic profiling coupled with machine learning to identify biomarkers and drug targets in nasopharyngeal carcinoma.,2025,"Liu J, Xu C, Wang R, Huang J, Zhao R, Wang R",", , , , , ",Not Available,Summary not available due to quota limits.
40078288,Mitochondria-associated non-coding RNAs and their impact on drug resistance.,2025,"An X, Sun L, Zheng H, Xiao Y, Sun W, Yu D",", , , , , ",Not Available,Summary not available due to quota limits.
40078283,Knowledge structure and dynamic evolution of nanomedicine in liver cancer research: a scientometric analysis and visualization.,2025,"Li S, Cui D, Shao B, Kang Z, Yan G",", , , , ",Not Available,Summary not available due to quota limits.
40078282,Small molecule inhibition of ubiquitin C-terminal hydrolase L1 alters cell metabolism proteins and exerts anti- or pro-tumorigenic effects contingent upon chemosensitivity status in high grade serous ovarian cancer.,2025,"Jansen C, McAdams J, Kim C, De La Cruz P, Salaverria A, DaSilva NA, Grive K, James NE",", , , , , , , ",Not Available,Summary not available due to quota limits.
40078277,Muscle loss in cancer cachexia: what is the basis for nutritional support?,2025,"Faiad J, Andrade MF, de Castro G, de Resende J, Coêlho M, Aquino G, Seelaender M",", , , , , , ",Not Available,Summary not available due to quota limits.
40078274,"Unleashing the power of peptides in prostate cancer immunotherapy: mechanism, facts and perspectives.",2025,"Li X, Yang F, Wang M, Huang X, Zeng X, Zhou L, Peng S, Zhang J",", , , , , , , ",Not Available,Summary not available due to quota limits.
40078237,Enhancing Cancer Screening and Early Diagnosis in India: Overcoming Challenges and Leveraging Emerging Technologies.,2025 Feb,"Mangayarkarasi V, Durairaj E, Ramanathan V",", , ",Not Available,Summary not available due to quota limits.
40078230,"Comparative analysis of alpha-fetoprotein, carbohydrate antigen 19-9, carcinoembryonic antigen, and prostate-specific antigen among conventional cigarette smokers, heated tobacco product users and quitters.",2025,"Kim DH, Hong SW, Park N",", , ",Not Available,Summary not available due to quota limits.
40078205,"The Effect of The Mindfulness-Based Relaxation, Aromatherapy, and Prayer (RADO) Intervention on Anxiety and Quality of Life Among Children With Cancer.",2025,"Apriany D, Rakhmawati W, Iskandarsyah A, Hilmanto D",", , , ",Not Available,Summary not available due to quota limits.
40078200,Chinese Guidelines on the Management of Hepatic Encephalopathy in Cirrhosis (2024).,2025 Mar 28,"Xu X, Ding H, Li W, Han Y, Guan Y, Xu J, Han Y, Jia J, Wei L, Duan Z, Nan Y, Zhuang H, Chinese Society of Hepatology, Chinese Medical Association",", , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078194,SATB2 promotes radiation resistance of esophageal squamous cell carcinoma by regulating epithelial-to-mesenchymal transition via the Wnt/β-catenin pathway.,2025,"Lin C, Wu Y, Qian Y, Li J, He Y, Yu H, Xie C, Su H",", , , , , , , ",Not Available,Summary not available due to quota limits.
40078193,Which specific modes of exercise training are most effective for breast related cancer fatigue? Network meta-analysis.,2025,"Li Y, Zhang J, Hu D, Gao L, Huang T",", , , , ",Not Available,Summary not available due to quota limits.
40078192,Multi-omics analysis identifies a liquid-liquid phase separation-related subtypes in head and neck squamous cell carcinoma.,2025,"Zhai PL, Chen MM, Wang Q, Zhao JJ, Tang XM, Lu CN, Liu J, Yang QX, Xiang ML, Tang QH, Gu B, Zhang SP, Tang SP, Fu D",", , , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078190,Efficacy of anlotinib and chemotherapy combination as neoadjuvant therapy in the treatment of pulmonary artery intimal sarcoma: a case report.,2025,"Liang G, Zhang Q, Luo Y, Zhao Y, Luo B",", , , , ",Not Available,Summary not available due to quota limits.
40078189,Improving equity and wellness in cancer care with people of Latin American and African Descent: a study protocol.,2025,"Santos Salas A, Watanabe SM, Sinnarajah A, Bassah N, Huang F, Alcalde-Castro J, Judge H, O'Rourke HM, Camargo Plazas P, Salami B, Santana MJ, Abdel Rahman O, Iyiola I, Wildeman T, Vaughn L, Ahmed S, Patient Advisory Council",", , , , , , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078186,"Global, Regional, and National Disease Burden and Prediction Analysis of Colorectal Cancer Attributable to Tobacco, Alcohol, and Obesity From 1990 to 2030.",2025,"Deng Y, Wang Y, Yang J, Luo X, Qiu J, Long R, Zhang C, Li J, Tang G, Chen L, Zuo J",", , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078183,Significance of mouse xenograft tumor model using patient-derived cancer organoids for clinical drug development.,2025,"Ogawa H, Yoshida K, Hasegawa S, Wada H, Yasui M, Tahara H",", , , , , ",Not Available,Summary not available due to quota limits.
40078182,Brazilian real-world data of immunotherapy in extensive stage small cell lung cancer.,2025,"Duarte FA, Dienstmann R, Diniz PHC, E Silva MC, Veloso GGV, Arcanjo GS, Paes R, Montella TC, Lima HFCA, Ferrari BL, Macuzo EV, Ferreira CG",", , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078180,Feasibility study of 4D-online monitoring of density gradients induced by lung cancer treatment using carbon ions.,2025,"Reidel CA, Pierobon E, Horst F, Gesson L, Paz A, Graeff C, Steinsberger T, Zink K, Witt M, Senger Y, Finck C, Vanstalle M, La Tessa C, Durante M, Weber U, Schuy C",", , , , , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078179,AI models for the identification of prognostic and predictive biomarkers in lung cancer: a systematic review and meta-analysis.,2025,"AlOsaimi HM, Alshilash AM, Al-Saif LK, Bosbait JM, Albeladi RS, Almutairi DR, Alhazzaa AA, Alluqmani TA, Al Qahtani SM, Almohammadi SA, Alamri RA, Alkurdi AA, Aljohani WK, Alraddadi RH, Alshammari MK",", , , , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078178,Clinical factors influencing residual subcutaneous tissue after skin-sparing and nipple-sparing mastectomy with immediate breast reconstruction.,2025,"Turna M, Caglar HB",", ",Not Available,Summary not available due to quota limits.
40078099,Smoking and Elevated Preneoadjuvant Chemoradiotherapy Serum Carcinoembryonic Antigen Levels Are Associated With High Tumor Regression Grade and Poor Survival in Patients With Locally Advanced Rectal Cancer.,2025 Mar 13,"Chuang JP, Tsai HL, Chen PJ, Huang CW, Su WC, Chang TK, Chen YC, Li CC, Yeh YS, Wang JY",", , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078091,PADI4 facilitates stem-like properties and cisplatin resistance through upregulating PRMT2/IDs family in oesophageal squamous cell carcinoma.,2025 Mar,"Wang Z, Wu H, Li Z, Chen Z, Feng A, Chu Y, Fang K, Zhang Z, Zhao Z, Leng Z, Zhang S, Wang X, He L, Chen T, Xu M",", , , , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40078078,Major Human Leukocyte Antigen Expression in Respiratory Papillomatosis Clinical Specimens.,2025 Mar 13,"Robbins Y, Lassoued W, Bai K, Huynh A, Norberg SM, Allen CT",", , , , , ",Not Available,Summary not available due to quota limits.
40078067,Highly efficient isolation and multistep analysis of tumor cells from whole blood.,2025 Mar 13,"Knapp M, Kadić S, Lux A, Paust N, Zengerle R, Hoffmann J",", , , , , ",Not Available,Summary not available due to quota limits.
40078059,Cancer Targeting Radiopeptidomimetics in Molecular Nuclear Medicine.,2025 Mar 13,Satpati D,None,Not Available,Summary not available due to quota limits.
40078028,Illness risk representations underlying women's breast cancer risk appraisals: A theory-informed qualitative analysis.,2025 May,"Woof VG, McWilliams L, Evans DG, Howell A, French DP",", , , , ",Not Available,Summary not available due to quota limits.
40078015,New index for quantitative comparison of dose distributions in radiotherapy.,2025 Mar 12,"Kuperman VY, Altundal Y",", ",Not Available,Summary not available due to quota limits.
40077993,Synthesis and Imaging of Novel CDK19-Targeted Tracers Incorporating an Albumin-Binding Moiety.,2025 Mar,"Li P, Yang Z, Li Y, Yu J, Wang Z, Nie J, Liu X, Hou W, Zhao Y, Dai D, Li Y",", , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40077992,Machine Learning-Based Discovery of a Novel Noncovalent MurA Inhibitor as an Antibacterial Agent.,2025 Mar,"Liu Q, Luo A, Jin H, Si X, Li M",", , , , ",Not Available,Summary not available due to quota limits.
40077970,Preoperative predictors of concurrent endometrial carcinoma in patients with endometrial intraepithelial neoplasia: the role of HALP score and other inflammatory markers.,2025 Mar 12,"Aytekin O, Karagöz Ç, Göktaş E, Tokalıoğlu AA, Tiryaki Güner G, Özkaya Uçar Y, Kılıç F, Turan T",", , , , , , , ",Not Available,Summary not available due to quota limits.
40077924,Cutting-Edge Therapy and Immune Escape Mechanisms in EBV-Associated Tumors.,2025 Mar 12,"Wang J, Wang R, Wang M, Ge J, Wang Y, Li Y, Chen C, He J, Zheng B, Xu M, Jiang X, Liu Y, Chen M, Long J",", , , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
